,Afganistan,Armenia,Bahrain,Cambodia,Colanta,Kasachstan,Kuwait,Mongolei,Pakistan,Syria,Taji
Afganistan,NA,73,46,64,64,42,50,39,60,65,41
Armenia,73,NA,52,48,61,38,39,39,59,46,37
Bahrain,46,52,NA,63,52,57,55,48,63,67,58
Cambodia,64,48,63,NA,72,40,61,59,54,61,50
Colanta,64,61,52,72,NA,47,55,51,73,76,46
Kasachstan,42,38,57,40,47,NA,41,39,48,50,47
Kuwait,50,39,55,61,55,41,NA,53,58,59,71
Mongolei,39,39,48,59,51,39,53,NA,54,54,60
Pakistan,60,59,63,54,73,48,58,54,NA,76,56
Syria,65,46,67,61,76,50,59,54,76,NA,53
Taji,41,37,58,50,46,47,71,60,56,53,NA
